numeropol;freq_paiement;langue;type_prof;alimentation;type_territoire;utilisation;presence_alarme;marque_voiture;sexe;nbsin;exposition;cout;age;duree_permis
65;annuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.347945205;0;41;22
66;annuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.438356164;0;41;22
67;annuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.997260274;0;42;23
68;annuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;1;0.997260274;412.43;43;24
69;annuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.4;0;44;25
70;annuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;non;AUDI;M;0;0.597260274;0;44;25
71;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;VOLKSWAGEN;F;0;0.410958904;0;40;22
72;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;VOLKSWAGEN;F;0;0.997260274;0;42;24
73;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;VOLKSWAGEN;F;0;0.997260274;0;43;25
74;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;VOLKSWAGEN;F;0;0.983561644;0;46;28
75;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;VOLKSWAGEN;F;0;0.997260274;0;47;29
76;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;VOLKSWAGEN;F;0;0.997260274;0;47;29
77;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;M;2;0.690410959;1187.06;32;12
78;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;M;0;0.304109589;0;32;12
79;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;M;0;0.997260274;0;35;15
80;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;M;0;0.997260274;0;36;16
81;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;M;0;0.717808219;0;37;17
82;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;RENAULT;M;0;0.035616438;0;38;18
83;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;RENAULT;M;0;1;0;38;18
84;mensuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.58630137;0;40;20
85;mensuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.410958904;0;41;21
86;mensuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.997260274;0;41;21
87;mensuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.997260274;0;43;23
88;mensuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.997260274;0;45;25
89;mensuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.334246575;0;46;26
90;mensuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.463013699;0;47;27
91;mensuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.194520548;0;47;27
92;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;GM;F;0;0.495890411;0;44;11
93;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;GM;F;0;0.498630137;0;44;11
94;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;GM;F;0;0.443835616;0;45;12
95;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;GM;F;0;0.504109589;0;46;13
96;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;GM;F;1;0.490410959;135.4;46;13
97;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;GM;F;0;0.997260274;0;48;15
98;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;GM;F;1;0.704109589;153.97;49;16
99;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;GM;F;0;0.290410959;0;49;16
100;mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.054794521;0;37;17
101;mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.939726027;0;37;17
102;mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.263013699;0;38;18
103;mensuel;F;Informaticien;Végétalien;Semi-urbain;Travail-occasionnel;oui;HONDA;M;0;0.57260274;0;30;10
104;mensuel;A;Informaticien;Végétalien;Urbain;Loisir;oui;NISSAN;M;0;0.632876712;0;27;5
105;mensuel;A;Informaticien;Végétalien;Urbain;Loisir;oui;NISSAN;M;0;0.361643836;0;27;5
106;mensuel;A;Informaticien;Végétalien;Urbain;Loisir;oui;NISSAN;M;0;0.997260274;0;29;7
107;mensuel;A;Informaticien;Végétarien;Urbain;Travail-occasionnel;oui;NISSAN;M;0;0.997260274;0;31;9
108;mensuel;A;Informaticien;Végétarien;Urbain;Travail-occasionnel;oui;NISSAN;M;0;0.087671233;0;32;10
109;mensuel;A;Informaticien;Végétarien;Urbain;Travail-occasionnel;oui;RENAULT;M;0;0.591780822;0;32;10
110;mensuel;A;Informaticien;Végétarien;Urbain;Travail-occasionnel;oui;RENAULT;M;0;0.315068493;0;32;10
111;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-quotidien;oui;SEAT;M;0;0.997260274;0;59;27
112;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-quotidien;oui;SEAT;M;0;0.997260274;0;60;28
113;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-quotidien;oui;SEAT;M;0;1;0;61;29
114;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-quotidien;oui;SEAT;M;0;0.997260274;0;63;31
115;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-quotidien;oui;SEAT;M;0;0.309589041;0;64;32
116;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-quotidien;oui;FORD;M;0;0.684931507;0;64;32
117;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-quotidien;oui;FORD;M;0;1;0;65;33
118;mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;PEUGEOT;M;1;1;589.23;61;45
119;mensuel;F;Ingénieur;Végétarien;Semi-urbain;Travail-quotidien;non;PEUGEOT;M;0;0.997260274;0;62;46
120;mensuel;F;Ingénieur;Végétarien;Semi-urbain;Travail-quotidien;non;PEUGEOT;M;0;0.997260274;0;63;47
121;mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;PEUGEOT;M;0;0.997260274;0;64;48
122;mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;PEUGEOT;M;0;1;0;65;49
123;mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;PEUGEOT;M;0;0.997260274;0;66;50
124;mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;PEUGEOT;M;0;0.997260274;0;67;51
125;mensuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;PEUGEOT;M;0;0.997260274;0;68;52
126;mensuel;A;Hockeyeur;Carnivore;Urbain;Travail-quotidien;oui;RENAULT;F;0;0.21369863;0;39;15
127;mensuel;F;Infirmière;Végétalien;Semi-urbain;Travail-occasionnel;oui;PEUGEOT;F;1;0.997260274;102.39;23;3
128;mensuel;F;Infirmière;Végétarien;Semi-urbain;Travail-occasionnel;non;GM;F;0;0.073972603;0;25;5
129;mensuel;F;Infirmière;Végétarien;Semi-urbain;Travail-occasionnel;non;GM;F;0;0.279452055;0;26;6
130;mensuel;F;Infirmière;Végétarien;Semi-urbain;Travail-occasionnel;oui;FORD;F;0;0.098630137;0;26;6
131;mensuel;F;Infirmière;Végétarien;Semi-urbain;Travail-occasionnel;oui;FORD;F;0;0.997260274;0;27;7
132;mensuel;F;Infirmière;Végétarien;Semi-urbain;Travail-occasionnel;oui;FORD;F;0;0.219178082;0;28;8
133;mensuel;F;Infirmière;Végétarien;Semi-urbain;Travail-occasionnel;non;PEUGEOT;F;0;0.180821918;0;28;8
134;mensuel;F;Infirmière;Végétarien;Semi-urbain;Travail-occasionnel;non;PEUGEOT;F;0;0.997260274;0;29;9
135;mensuel;F;Infirmière;Végétarien;Semi-urbain;Travail-occasionnel;non;PEUGEOT;F;0;0.997260274;0;30;10
136;mensuel;F;Infirmière;Carnivore;Semi-urbain;Travail-occasionnel;non;PEUGEOT;F;0;0.997260274;0;31;11
137;mensuel;A;Infirmière;Carnivore;Urbain;Travail-occasionnel;non;HONDA;M;1;0.512328767;1135.88;39;15
138;mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;SEAT;M;0;0.221917808;0;36;17
139;mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;SEAT;M;0;0.997260274;0;37;18
140;mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;SEAT;M;1;0.997260274;354.64;38;19
141;mensuel;F;Technicien;Végétarien;Urbain;Travail-occasionnel;non;SEAT;M;0;0.997260274;0;39;20
142;mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;SEAT;M;0;0.980821918;0;40;21
143;mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;SEAT;M;1;0.016438356;369.21;41;22
144;mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;SEAT;M;0;0.997260274;0;41;22
145;mensuel;F;Technicien;Végétarien;Urbain;Travail-occasionnel;non;SEAT;M;0;0.997260274;0;43;24
146;mensuel;F;Technicien;Végétarien;Urbain;Travail-occasionnel;non;SEAT;M;0;0.997260274;0;44;25
147;annuel;F;Ingénieur;Végétarien;Semi-urbain;Travail-quotidien;non;NISSAN;M;0;1;0;66;31
148;annuel;F;Ingénieur;Végétarien;Semi-urbain;Travail-quotidien;non;NISSAN;M;0;0.997260274;0;68;33
149;annuel;F;Ingénieur;Végétarien;Semi-urbain;Travail-quotidien;non;NISSAN;M;0;1;0;69;34
150;annuel;F;Ingénieur;Végétarien;Semi-urbain;Travail-quotidien;non;NISSAN;M;0;0.997260274;0;71;36
151;annuel;F;Ingénieur;Végétarien;Semi-urbain;Travail-quotidien;non;NISSAN;M;0;0.997260274;0;72;37
152;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;NISSAN;M;0;1;0;73;38
153;mensuel;A;Avocat;Carnivore;Urbain;Travail-occasionnel;oui;PEUGEOT;F;0;0.142465753;0;48;25
154;mensuel;F;Informaticien;Végétarien;Semi-urbain;Loisir;non;SAAB;M;0;1;0;43;25
155;mensuel;F;Informaticien;Carnivore;Semi-urbain;Loisir;non;SAAB;M;0;0.997260274;0;44;26
156;mensuel;F;Informaticien;Carnivore;Semi-urbain;Loisir;non;SAAB;M;2;0.569863014;414.96;45;27
157;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;BMW;M;0;0.994520548;0;32;14
158;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;BMW;M;1;0.531506849;2694.22;33;15
159;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;VOLVO;M;0;0.463013699;0;34;16
160;mensuel;F;Avocat;Végétarien;Semi-urbain;Travail-occasionnel;oui;GM;F;1;0.947945205;698.84;50;27
161;mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-occasionnel;oui;RENAULT;M;0;1;0;35;15
162;mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-occasionnel;oui;RENAULT;M;0;0.997260274;0;36;16
163;mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-occasionnel;oui;RENAULT;M;0;0.684931507;0;37;17
164;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;RENAULT;M;0;0.997260274;0;38;18
165;mensuel;A;Autre;Carnivore;Urbain;Travail-occasionnel;oui;HONDA;M;0;1;0;34;15
166;mensuel;A;Autre;Carnivore;Urbain;Travail-occasionnel;non;FORD;M;0;0.676712329;0;36;17
167;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;HONDA;M;0;0.997260274;0;62;21
168;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;HONDA;M;0;0.997260274;0;64;23
169;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;HONDA;M;0;1;0;65;24
170;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;HONDA;M;0;0.997260274;0;66;25
171;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;HONDA;M;0;0.997260274;0;67;26
172;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;HONDA;M;0;0.463013699;0;68;27
173;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;HONDA;F;0;0.265753425;0;70;27
174;mensuel;F;Technicien;Végétarien;Semi-urbain;Loisir;non;AUDI;M;0;0.435616438;0;49;30
175;mensuel;F;Technicien;Végétarien;Semi-urbain;Loisir;non;AUDI;M;0;0.55890411;0;49;30
176;mensuel;F;Technicien;Carnivore;Semi-urbain;Loisir;non;AUDI;M;0;1;0;50;31
177;mensuel;F;Technicien;Carnivore;Semi-urbain;Loisir;non;AUDI;M;0;0.410958904;0;52;33
178;mensuel;F;Technicien;Carnivore;Semi-urbain;Loisir;non;BMW;M;0;0.583561644;0;52;33
179;mensuel;F;Technicien;Carnivore;Semi-urbain;Loisir;non;BMW;M;0;0.997260274;0;53;34
180;mensuel;F;Technicien;Carnivore;Semi-urbain;Loisir;non;BMW;M;0;1;0;54;35
181;mensuel;F;Technicien;Carnivore;Semi-urbain;Loisir;non;BMW;M;0;0.997260274;0;55;36
182;mensuel;F;Technicien;Carnivore;Semi-urbain;Loisir;non;BMW;M;0;0.997260274;0;57;38
183;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;GM;F;1;0.997260274;872.91;34;14
184;annuel;A;Technicien;Végétarien;Urbain;Travail-occasionnel;non;GM;F;0;0.810958904;0;35;15
185;annuel;A;Technicien;Végétarien;Urbain;Travail-occasionnel;oui;LANCIA;F;0;0.008219178;0;36;16
186;annuel;A;Technicien;Végétarien;Urbain;Travail-occasionnel;non;LANCIA;F;0;0.17260274;0;36;16
187;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;LANCIA;F;0;0.997260274;0;36;16
188;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;LANCIA;F;0;0.997260274;0;39;19
189;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;LANCIA;F;0;0.997260274;0;40;20
190;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;oui;MAZDA;M;0;0.997260274;0;68;29
191;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;oui;MAZDA;M;0;0.175342466;0;69;30
192;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;MAZDA;M;0;0.819178082;0;69;30
193;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;MAZDA;M;0;0.997260274;0;70;31
194;annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;MAZDA;M;1;0.520547945;1038.5;72;33
195;annuel;F;Ingénieur;Végétarien;Semi-urbain;Travail-quotidien;non;MAZDA;M;0;0.997260274;0;74;35
196;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;1;0;31;10
197;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.997260274;0;32;11
198;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.997260274;0;33;12
199;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.065753425;0;35;14
200;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.931506849;0;35;14
201;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.232876712;0;36;15
202;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;HONDA;M;0;0.997260274;0;37;16
203;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;HONDA;M;0;1;0;39;18
204;annuel;A;Technicien;Végétarien;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.268493151;0;31;12
205;annuel;A;Infirmière;Végétalien;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;1;0;38;15
206;annuel;A;Infirmière;Végétarien;Urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.145205479;0;39;16
207;annuel;A;Infirmière;Végétarien;Urbain;Travail-occasionnel;non;VOLKSWAGEN;M;0;0.849315068;0;39;16
208;annuel;A;Infirmière;Végétarien;Urbain;Travail-occasionnel;non;VOLKSWAGEN;M;1;0.997260274;125.72;41;18
209;annuel;A;Infirmière;Végétalien;Urbain;Travail-occasionnel;non;VOLKSWAGEN;M;0;0.997260274;0;43;20
210;annuel;A;Infirmière;Végétarien;Urbain;Travail-occasionnel;non;VOLKSWAGEN;M;0;0.997260274;0;45;22
211;mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;HONDA;F;0;0.997260274;0;46;28
212;annuel;A;Technicien;Végétarien;Urbain;Travail-occasionnel;oui;MAZDA;F;0;1;0;36;15
213;annuel;A;Technicien;Végétarien;Urbain;Travail-occasionnel;oui;MAZDA;F;0;0.997260274;0;38;17
214;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;MAZDA;F;0;0.02739726;0;39;18
215;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;MAZDA;F;0;1;0;40;19
216;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;MAZDA;F;0;0.95890411;0;41;20
217;annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;MAZDA;F;1;0.997260274;4288.6;43;22
218;mensuel;F;Actuaire;Végétarien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;0;0.660273973;0;32;11
219;mensuel;F;Hockeyeur;Carnivore;Urbain;Travail-occasionnel;non;NISSAN;F;1;1;354.5;34;15
220;mensuel;F;Hockeyeur;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;F;0;0.02739726;0;35;16
221;annuel;F;Actuaire;Carnivore;Semi-urbain;Travail-occasionnel;non;MITSUBISHI;F;0;0.997260274;0;33;13
222;annuel;F;Actuaire;Carnivore;Semi-urbain;Travail-occasionnel;non;MITSUBISHI;F;0;0.997260274;0;34;14
223;annuel;F;Actuaire;Carnivore;Semi-urbain;Travail-occasionnel;non;MITSUBISHI;F;0;0.997260274;0;35;15
224;annuel;F;Actuaire;Carnivore;Semi-urbain;Travail-occasionnel;non;MITSUBISHI;F;0;1;0;36;16
225;annuel;F;Actuaire;Carnivore;Semi-urbain;Travail-occasionnel;non;MITSUBISHI;F;0;0.997260274;0;37;17
226;annuel;F;Actuaire;Carnivore;Semi-urbain;Travail-occasionnel;non;MITSUBISHI;F;0;0.997260274;0;39;19
